model,language,category,emotion,emotion_strategy,neutral_strategy,bootstrap_iteration,sampled_emotion_terms,sampled_neutral_terms,direction_cosine_to_reference,top_k_jaccard_to_reference,average_similarity_top_k
gemini,en,food,sadness,centroid_phrases,neutral_centroid,1,feeling gloomy; feeling sorrowful; feeling sad,neutral; neutral; neutral; average,0.8785709142684937,0.6666666666666666,0.5267455011606217
gemini,en,food,sadness,centroid_phrases,neutral_centroid,17,feeling gloomy; feeling gloomy; feeling sad,average; average; neutral; neutral,0.8665381669998169,0.5384615384615384,0.5101587861776352
gemini,en,food,sadness,centroid_phrases,neutral_centroid,18,feeling sad; feeling gloomy; feeling sorrowful,neutral; neutral; plain; neutral,0.8713024854660034,0.6666666666666666,0.5265812516212464
gemini,en,food,sadness,centroid_phrases,neutral_centroid,19,feeling sorrowful; feeling sorrowful; feeling sad,plain; average; ordinary; ordinary,0.9087675213813782,0.8181818181818182,0.4995791345834732
gemini,en,food,sadness,centroid_phrases,neutral_centroid,20,feeling gloomy; feeling sad; feeling gloomy,average; average; ordinary; ordinary,0.8623039722442627,0.6666666666666666,0.5103888601064682
gemini,en,food,sadness,centroid_phrases,neutral_centroid,21,feeling sorrowful; feeling sorrowful; feeling gloomy,average; plain; plain; average,0.8880361914634705,0.6666666666666666,0.4990254580974579
gemini,en,food,sadness,centroid_phrases,neutral_centroid,22,feeling sorrowful; feeling sorrowful; feeling sorrowful,plain; neutral; plain; neutral,0.8184224367141724,0.6666666666666666,0.48074972033500674
gemini,en,food,sadness,centroid_phrases,neutral_centroid,23,feeling gloomy; feeling sorrowful; feeling sorrowful,ordinary; neutral; neutral; neutral,0.854820728302002,0.8181818181818182,0.5218813002109528
gemini,en,food,sadness,centroid_phrases,neutral_centroid,24,feeling gloomy; feeling sad; feeling sorrowful,plain; plain; average; neutral,0.9623291492462158,0.8181818181818182,0.5140628546476365
gemini,en,food,sadness,centroid_phrases,neutral_centroid,25,feeling sad; feeling sorrowful; feeling sad,neutral; neutral; plain; neutral,0.8457329273223877,0.6666666666666666,0.5096469193696975
gemini,en,food,sadness,centroid_phrases,neutral_centroid,26,feeling gloomy; feeling gloomy; feeling gloomy,ordinary; average; plain; ordinary,0.824421763420105,0.6666666666666666,0.48706948161125185
gemini,en,food,sadness,centroid_phrases,neutral_centroid,27,feeling sad; feeling sorrowful; feeling gloomy,average; plain; average; ordinary,0.948435366153717,0.6666666666666666,0.5141698449850083
gemini,en,food,sadness,centroid_phrases,neutral_centroid,28,feeling gloomy; feeling gloomy; feeling gloomy,neutral; average; ordinary; plain,0.8632434010505676,0.5384615384615384,0.4839512974023819
gemini,en,food,sadness,centroid_phrases,neutral_centroid,29,feeling sorrowful; feeling sorrowful; feeling gloomy,ordinary; neutral; ordinary; neutral,0.8947395086288452,0.8181818181818182,0.5196274757385254
gemini,en,food,sadness,centroid_phrases,neutral_centroid,30,feeling sad; feeling sorrowful; feeling sorrowful,ordinary; plain; ordinary; plain,0.8733246922492981,0.8181818181818182,0.5018213659524917
gemini,en,food,sadness,centroid_phrases,neutral_centroid,31,feeling sorrowful; feeling sorrowful; feeling sorrowful,average; plain; average; plain,0.8258433938026428,0.8181818181818182,0.4684039443731308
gemini,en,food,sadness,centroid_phrases,neutral_centroid,32,feeling gloomy; feeling sad; feeling sorrowful,plain; ordinary; neutral; plain,0.9503161311149597,0.8181818181818182,0.519266140460968
gemini,en,food,sadness,centroid_phrases,neutral_centroid,33,feeling sorrowful; feeling gloomy; feeling sad,plain; plain; neutral; ordinary,0.9503160119056702,0.8181818181818182,0.5192661225795746
gemini,en,food,sadness,centroid_phrases,neutral_centroid,34,feeling sorrowful; feeling sad; feeling sad,average; average; plain; neutral,0.9168928265571594,0.6666666666666666,0.4963828384876251
gemini,en,food,sadness,centroid_phrases,neutral_centroid,35,feeling sad; feeling sorrowful; feeling sad,neutral; average; ordinary; average,0.910571277141571,0.6666666666666666,0.5008062988519668
gemini,en,food,sadness,centroid_phrases,neutral_centroid,36,feeling sad; feeling sad; feeling sad,average; plain; neutral; neutral,0.8621351718902588,0.6666666666666666,0.4821925610303879
gemini,en,food,sadness,centroid_phrases,neutral_centroid,37,feeling sad; feeling sorrowful; feeling sad,neutral; neutral; ordinary; neutral,0.8528679609298706,0.6666666666666666,0.5129229903221131
gemini,en,food,sadness,centroid_phrases,neutral_centroid,38,feeling sorrowful; feeling gloomy; feeling gloomy,ordinary; neutral; neutral; average,0.9143058657646179,0.8181818181818182,0.5148252308368683
gemini,en,food,sadness,centroid_phrases,neutral_centroid,39,feeling gloomy; feeling sorrowful; feeling gloomy,average; ordinary; ordinary; neutral,0.9184296727180481,0.8181818181818182,0.5143425643444062
gemini,en,food,sadness,centroid_phrases,neutral_centroid,40,feeling sad; feeling gloomy; feeling gloomy,average; ordinary; plain; neutral,0.9473728537559509,0.6666666666666666,0.5062925308942795
gemini,en,food,sadness,centroid_phrases,neutral_centroid,41,feeling gloomy; feeling sad; feeling gloomy,neutral; ordinary; average; ordinary,0.9089470505714417,0.8181818181818182,0.5114184230566025
gemini,en,food,sadness,centroid_phrases,neutral_centroid,42,feeling gloomy; feeling sad; feeling sad,ordinary; ordinary; plain; average,0.9127050638198853,0.6666666666666666,0.5075663596391677
gemini,en,food,sadness,centroid_phrases,neutral_centroid,43,feeling gloomy; feeling sorrowful; feeling gloomy,ordinary; neutral; ordinary; average,0.9184296727180481,0.8181818181818182,0.514342588186264
gemini,en,food,sadness,centroid_phrases,neutral_centroid,44,feeling sorrowful; feeling sorrowful; feeling sorrowful,ordinary; ordinary; plain; average,0.8478273153305054,1.0,0.4764737606048584
gemini,en,food,sadness,centroid_phrases,neutral_centroid,45,feeling sad; feeling sad; feeling sad,average; plain; average; ordinary,0.8551410436630249,0.6666666666666666,0.47935186326503754
gemini,en,food,sadness,centroid_phrases,neutral_centroid,46,feeling sorrowful; feeling gloomy; feeling gloomy,neutral; average; average; average,0.8368517756462097,0.6666666666666666,0.5111615121364593
gemini,en,food,sadness,centroid_phrases,neutral_centroid,47,feeling sorrowful; feeling sad; feeling sad,plain; average; ordinary; average,0.909278154373169,0.6666666666666666,0.4976158529520035
gemini,en,food,sadness,centroid_phrases,neutral_centroid,48,feeling sorrowful; feeling sad; feeling gloomy,average; plain; average; neutral,0.9547610282897949,0.8181818181818182,0.5136112064123154
gemini,en,food,sadness,centroid_phrases,neutral_centroid,49,feeling sad; feeling sorrowful; feeling gloomy,neutral; neutral; plain; plain,0.9096623063087463,0.8181818181818182,0.5206519097089768
gemini,en,food,sadness,centroid_phrases,neutral_centroid,50,feeling sorrowful; feeling sorrowful; feeling gloomy,plain; neutral; plain; average,0.9211840629577637,0.8181818181818182,0.5023107528686523
gemini,en,food,sadness,centroid_phrases,neutral_centroid,51,feeling sorrowful; feeling sorrowful; feeling gloomy,ordinary; ordinary; neutral; ordinary,0.8676424026489258,0.8181818181818182,0.5204658210277557
gemini,en,food,sadness,centroid_phrases,neutral_centroid,52,feeling sorrowful; feeling sorrowful; feeling gloomy,plain; average; neutral; average,0.9177940487861633,0.8181818181818182,0.5028567373752594
gemini,en,food,sadness,centroid_phrases,neutral_centroid,53,feeling sad; feeling sorrowful; feeling sorrowful,average; ordinary; neutral; ordinary,0.92050701379776,0.8181818181818182,0.5037846386432647
gemini,en,food,sadness,centroid_phrases,neutral_centroid,54,feeling sorrowful; feeling gloomy; feeling sorrowful,plain; neutral; average; average,0.9177940487861633,0.8181818181818182,0.5028567492961884
gemini,en,food,sadness,centroid_phrases,neutral_centroid,55,feeling gloomy; feeling sorrowful; feeling sorrowful,plain; plain; neutral; ordinary,0.9105034470558167,1.0,0.5071437418460846
gemini,en,food,sadness,centroid_phrases,neutral_centroid,56,feeling sad; feeling sorrowful; feeling sad,neutral; ordinary; ordinary; average,0.9205435514450073,0.6666666666666666,0.5054445475339889
gemini,en,food,sadness,centroid_phrases,neutral_centroid,57,feeling gloomy; feeling gloomy; feeling sad,ordinary; average; average; average,0.8245418071746826,0.6666666666666666,0.5090458124876023
gemini,en,food,sadness,centroid_phrases,neutral_centroid,58,feeling gloomy; feeling gloomy; feeling sorrowful,neutral; neutral; average; average,0.87374347448349,0.5384615384615384,0.5137235343456268
gemini,en,food,sadness,centroid_phrases,neutral_centroid,59,feeling gloomy; feeling gloomy; feeling sorrowful,average; plain; neutral; plain,0.9163526296615601,0.6666666666666666,0.5063242763280869
gemini,en,food,sadness,centroid_phrases,neutral_centroid,60,feeling sorrowful; feeling sorrowful; feeling sorrowful,neutral; average; neutral; plain,0.8537898659706116,0.8181818181818182,0.47836063206195834
gemini,en,food,sadness,centroid_phrases,neutral_centroid,61,feeling gloomy; feeling sorrowful; feeling sorrowful,average; average; ordinary; plain,0.9114621877670288,0.8181818181818182,0.5021921187639237
gemini,en,food,sadness,centroid_phrases,neutral_centroid,62,feeling sorrowful; feeling sorrowful; feeling sorrowful,ordinary; neutral; plain; ordinary,0.8520744442939758,0.8181818181818182,0.48232999444007874
gemini,en,food,sadness,centroid_phrases,neutral_centroid,63,feeling sorrowful; feeling gloomy; feeling sorrowful,plain; neutral; neutral; plain,0.8746895790100098,0.6666666666666666,0.5099090903997421
gemini,en,food,sadness,centroid_phrases,neutral_centroid,64,feeling sad; feeling sorrowful; feeling sad,average; plain; ordinary; ordinary,0.9121761918067932,0.6666666666666666,0.5025397360324859
gemini,en,food,sadness,centroid_phrases,neutral_centroid,65,feeling sad; feeling sorrowful; feeling sad,neutral; neutral; neutral; ordinary,0.8528679609298706,0.6666666666666666,0.5129229992628097
gemini,en,food,sadness,centroid_phrases,neutral_centroid,66,feeling gloomy; feeling sad; feeling gloomy,neutral; plain; ordinary; ordinary,0.9009696245193481,0.8181818181818182,0.5127752006053925
gemini,en,food,sadness,centroid_phrases,neutral_centroid,67,feeling gloomy; feeling gloomy; feeling sad,average; average; plain; plain,0.884066104888916,0.5384615384615384,0.5024931341409683
gemini,en,food,sadness,centroid_phrases,neutral_centroid,68,feeling gloomy; feeling gloomy; feeling sad,average; plain; plain; neutral,0.9150705337524414,0.5384615384615384,0.5043512612581253
gemini,en,food,sadness,centroid_phrases,neutral_centroid,69,feeling sad; feeling sad; feeling gloomy,average; average; plain; average,0.8458861112594604,0.5384615384615384,0.5036051779985428
gemini,en,food,sadness,centroid_phrases,neutral_centroid,70,feeling sad; feeling sorrowful; feeling sad,plain; average; ordinary; ordinary,0.9121761918067932,0.6666666666666666,0.5025397360324859
gemini,en,food,sadness,centroid_phrases,neutral_centroid,71,feeling sad; feeling sad; feeling gloomy,neutral; average; neutral; neutral,0.8444163203239441,0.6666666666666666,0.5132483690977097
gemini,en,food,sadness,centroid_phrases,neutral_centroid,72,feeling sorrowful; feeling sorrowful; feeling gloomy,ordinary; ordinary; ordinary; ordinary,0.7913863658905029,0.6666666666666666,0.5245660483837128
gemini,en,food,sadness,centroid_phrases,neutral_centroid,73,feeling gloomy; feeling sad; feeling sad,average; ordinary; average; plain,0.9118463397026062,0.6666666666666666,0.503264307975769
gemini,en,food,sadness,centroid_phrases,neutral_centroid,74,feeling sorrowful; feeling gloomy; feeling sorrowful,plain; neutral; plain; neutral,0.8746895790100098,0.6666666666666666,0.5099090933799744
gemini,en,food,sadness,centroid_phrases,neutral_centroid,75,feeling sad; feeling gloomy; feeling gloomy,plain; average; average; neutral,0.9091189503669739,0.5384615384615384,0.5036097824573517
gemini,en,food,sadness,centroid_phrases,neutral_centroid,76,feeling gloomy; feeling sad; feeling sad,neutral; ordinary; ordinary; neutral,0.8837012648582458,0.6666666666666666,0.5153413355350495
gemini,en,food,sadness,centroid_phrases,neutral_centroid,77,feeling sad; feeling gloomy; feeling sorrowful,plain; neutral; average; ordinary,0.9999998807907104,1.0,0.5171860039234162
gemini,en,food,sadness,centroid_phrases,neutral_centroid,78,feeling sorrowful; feeling sorrowful; feeling sorrowful,ordinary; average; neutral; ordinary,0.8613094091415405,0.8181818181818182,0.48233543038368226
gemini,en,food,sadness,centroid_phrases,neutral_centroid,79,feeling sad; feeling sorrowful; feeling sorrowful,neutral; neutral; plain; neutral,0.8440806865692139,0.8181818181818182,0.5099521428346634
gemini,en,food,sadness,centroid_phrases,neutral_centroid,80,feeling sad; feeling sorrowful; feeling sorrowful,average; average; average; neutral,0.8399457931518555,0.6666666666666666,0.4999060958623886
gemini,en,food,sadness,centroid_phrases,neutral_centroid,81,feeling sorrowful; feeling gloomy; feeling sad,neutral; average; average; neutral,0.9118398427963257,0.6666666666666666,0.5199882864952088
gemini,en,food,sadness,centroid_phrases,neutral_centroid,82,feeling gloomy; feeling gloomy; feeling gloomy,ordinary; plain; plain; average,0.8303790092468262,0.5384615384615384,0.4831652492284775
gemini,en,food,sadness,centroid_phrases,neutral_centroid,83,feeling sad; feeling gloomy; feeling gloomy,neutral; plain; average; neutral,0.9036098718643188,0.6666666666666666,0.5080921143293381
gemini,en,food,sadness,centroid_phrases,neutral_centroid,84,feeling sorrowful; feeling gloomy; feeling sad,ordinary; plain; average; ordinary,0.9520211815834045,0.8181818181818182,0.519249650835991
gemini,en,food,sadness,centroid_phrases,neutral_centroid,85,feeling gloomy; feeling gloomy; feeling sorrowful,ordinary; neutral; ordinary; plain,0.9077572226524353,0.8181818181818182,0.5150639832019805
gemini,en,food,sadness,centroid_phrases,neutral_centroid,86,feeling gloomy; feeling sad; feeling gloomy,neutral; ordinary; neutral; plain,0.8960458040237427,0.6666666666666666,0.5123813837766648
gemini,en,food,sadness,centroid_phrases,neutral_centroid,87,feeling gloomy; feeling sorrowful; feeling sad,average; ordinary; ordinary; ordinary,0.8864585757255554,0.6666666666666666,0.5259118616580963
gemini,en,food,sadness,centroid_phrases,neutral_centroid,88,feeling gloomy; feeling sad; feeling gloomy,neutral; average; neutral; average,0.8665381669998169,0.5384615384615384,0.5101587802171708
gemini,en,food,sadness,centroid_phrases,neutral_centroid,89,feeling sorrowful; feeling sad; feeling gloomy,ordinary; neutral; average; average,0.9499097466468811,1.0,0.5178050965070724
gemini,en,food,sadness,centroid_phrases,neutral_centroid,90,feeling sorrowful; feeling gloomy; feeling sad,average; ordinary; plain; ordinary,0.9520211815834045,0.8181818181818182,0.519249650835991
gemini,en,food,sadness,centroid_phrases,neutral_centroid,91,feeling sad; feeling sad; feeling sorrowful,neutral; ordinary; plain; neutral,0.9131349325180054,0.6666666666666666,0.5061586856842041
gemini,en,food,sadness,centroid_phrases,neutral_centroid,92,feeling sad; feeling sad; feeling gloomy,plain; ordinary; plain; neutral,0.9142446517944336,0.5384615384615384,0.5078901380300522
gemini,en,food,sadness,centroid_phrases,neutral_centroid,93,feeling sad; feeling gloomy; feeling gloomy,plain; plain; neutral; average,0.9150705337524414,0.5384615384615384,0.5043512523174286
gemini,en,food,sadness,centroid_phrases,neutral_centroid,94,feeling gloomy; feeling gloomy; feeling gloomy,plain; ordinary; ordinary; plain,0.7878868579864502,0.6666666666666666,0.4900289326906204
gemini,en,food,sadness,centroid_phrases,neutral_centroid,95,feeling sorrowful; feeling gloomy; feeling sad,ordinary; ordinary; ordinary; plain,0.8825609087944031,0.8181818181818182,0.5270773530006408
gemini,en,food,sadness,centroid_phrases,neutral_centroid,96,feeling sad; feeling sorrowful; feeling gloomy,neutral; ordinary; plain; ordinary,0.9543108940124512,0.8181818181818182,0.5238947182893753
gemini,en,food,sadness,centroid_phrases,neutral_centroid,97,feeling sad; feeling sad; feeling sad,plain; average; ordinary; ordinary,0.8549903035163879,0.6666666666666666,0.4836780488491058
gemini,en,food,sadness,centroid_phrases,neutral_centroid,98,feeling sorrowful; feeling sorrowful; feeling gloomy,neutral; average; neutral; neutral,0.8524213433265686,0.6666666666666666,0.517898365855217
gemini,en,food,sadness,centroid_phrases,neutral_centroid,99,feeling gloomy; feeling sorrowful; feeling sad,ordinary; average; plain; neutral,1.0,1.0,0.5171860516071319
gemini,en,food,sadness,centroid_phrases,neutral_centroid,100,feeling sad; feeling sad; feeling sad,average; average; average; neutral,0.7946596145629883,0.6666666666666666,0.48396469950675963
gemini,en,food,disgust,centroid_phrases,neutral_centroid,1,feeling disgusted; feeling repulsed; feeling disgusted,ordinary; neutral; plain; plain,0.92518150806427,0.8181818181818182,0.5099542826414108
gemini,en,food,disgust,centroid_phrases,neutral_centroid,2,feeling revolted; feeling revolted; feeling repulsed,neutral; ordinary; neutral; ordinary,0.9069082736968994,0.6666666666666666,0.5099580317735672
gemini,en,food,disgust,centroid_phrases,neutral_centroid,3,feeling disgusted; feeling revolted; feeling disgusted,neutral; plain; ordinary; average,0.9633476734161377,0.8181818181818182,0.5135785192251205
gemini,en,food,disgust,centroid_phrases,neutral_centroid,4,feeling repulsed; feeling repulsed; feeling disgusted,plain; ordinary; ordinary; neutral,0.9326856732368469,0.6666666666666666,0.503424060344696
gemini,en,food,disgust,centroid_phrases,neutral_centroid,5,feeling revolted; feeling revolted; feeling disgusted,neutral; neutral; ordinary; neutral,0.8714139461517334,0.6666666666666666,0.5258726477622986
gemini,en,food,disgust,centroid_phrases,neutral_centroid,6,feeling repulsed; feeling disgusted; feeling repulsed,ordinary; ordinary; plain; ordinary,0.8685994744300842,0.5384615384615384,0.5071601003408432
gemini,en,food,disgust,centroid_phrases,neutral_centroid,7,feeling revolted; feeling repulsed; feeling repulsed,plain; plain; average; neutral,0.9345618486404419,0.8181818181818182,0.49266986548900604
gemini,en,food,disgust,centroid_phrases,neutral_centroid,8,feeling disgusted; feeling repulsed; feeling disgusted,plain; plain; plain; neutral,0.8720672726631165,0.8181818181818182,0.5110014170408249
gemini,en,food,disgust,centroid_phrases,neutral_centroid,9,feeling repulsed; feeling disgusted; feeling disgusted,ordinary; average; plain; neutral,0.9672680497169495,1.0,0.5088037252426147
gemini,en,food,disgust,centroid_phrases,neutral_centroid,10,feeling repulsed; feeling disgusted; feeling disgusted,average; average; plain; plain,0.9004696011543274,1.0,0.5070293962955474
gemini,en,food,disgust,centroid_phrases,neutral_centroid,11,feeling disgusted; feeling repulsed; feeling repulsed,neutral; neutral; neutral; neutral,0.8075166344642639,0.8181818181818182,0.5240000069141388
gemini,en,food,disgust,centroid_phrases,neutral_centroid,12,feeling repulsed; feeling revolted; feeling revolted,average; neutral; plain; neutral,0.9286779165267944,0.8181818181818182,0.505744794011116
gemini,en,food,disgust,centroid_phrases,neutral_centroid,13,feeling repulsed; feeling disgusted; feeling repulsed,neutral; ordinary; neutral; average,0.9389876127243042,0.8181818181818182,0.5065530270338059
gemini,en,food,disgust,centroid_phrases,neutral_centroid,14,feeling revolted; feeling revolted; feeling repulsed,ordinary; plain; ordinary; plain,0.895837128162384,0.5384615384615384,0.5033997297286987
gemini,en,food,disgust,centroid_phrases,neutral_centroid,15,feeling revolted; feeling revolted; feeling repulsed,average; ordinary; ordinary; neutral,0.9361883401870728,0.8181818181818182,0.5054251700639725
gemini,en,food,disgust,centroid_phrases,neutral_centroid,16,feeling repulsed; feeling revolted; feeling revolted,ordinary; ordinary; ordinary; ordinary,0.8115235567092896,0.6666666666666666,0.5167855381965637
gemini,en,food,disgust,centroid_phrases,neutral_centroid,17,feeling repulsed; feeling disgusted; feeling repulsed,neutral; plain; ordinary; average,0.971116304397583,1.0,0.49948514699935914
gemini,en,food,disgust,centroid_phrases,neutral_centroid,18,feeling disgusted; feeling repulsed; feeling disgusted,neutral; plain; average; ordinary,0.9672680497169495,1.0,0.508803728222847
gemini,en,food,disgust,centroid_phrases,neutral_centroid,19,feeling repulsed; feeling repulsed; feeling repulsed,ordinary; neutral; ordinary; neutral,0.8632106781005859,0.6666666666666666,0.47932806611061096
gemini,en,food,disgust,centroid_phrases,neutral_centroid,20,feeling disgusted; feeling revolted; feeling disgusted,plain; plain; neutral; plain,0.8679876327514648,0.8181818181818182,0.5154597282409668
gemini,en,food,disgust,centroid_phrases,neutral_centroid,21,feeling repulsed; feeling repulsed; feeling revolted,ordinary; ordinary; average; neutral,0.9322668313980103,0.8181818181818182,0.4979144424200058
gemini,en,food,disgust,centroid_phrases,neutral_centroid,22,feeling disgusted; feeling disgusted; feeling repulsed,average; plain; average; plain,0.9004696011543274,1.0,0.507029402256012
gemini,en,food,disgust,centroid_phrases,neutral_centroid,23,feeling repulsed; feeling revolted; feeling revolted,average; plain; ordinary; neutral,0.9682276844978333,0.8181818181818182,0.5009079515933991
gemini,en,food,disgust,centroid_phrases,neutral_centroid,24,feeling repulsed; feeling repulsed; feeling repulsed,neutral; neutral; ordinary; neutral,0.8359439373016357,0.6666666666666666,0.48579985797405245
gemini,en,food,disgust,centroid_phrases,neutral_centroid,25,feeling repulsed; feeling repulsed; feeling disgusted,ordinary; neutral; ordinary; ordinary,0.8834882378578186,0.6666666666666666,0.5103282004594802
gemini,en,food,disgust,centroid_phrases,neutral_centroid,26,feeling repulsed; feeling disgusted; feeling repulsed,average; average; average; neutral,0.858711302280426,1.0,0.5084747433662414
gemini,en,food,disgust,centroid_phrases,neutral_centroid,27,feeling disgusted; feeling repulsed; feeling revolted,ordinary; neutral; neutral; ordinary,0.9344495534896851,0.6666666666666666,0.5247016310691833
gemini,en,food,disgust,centroid_phrases,neutral_centroid,28,feeling repulsed; feeling revolted; feeling disgusted,plain; plain; neutral; ordinary,0.9560375809669495,0.8181818181818182,0.5166443675756455
gemini,en,food,disgust,centroid_phrases,neutral_centroid,29,feeling revolted; feeling repulsed; feeling repulsed,ordinary; average; plain; ordinary,0.9229393005371094,0.8181818181818182,0.49434818923473356
gemini,en,food,disgust,centroid_phrases,neutral_centroid,30,feeling revolted; feeling disgusted; feeling revolted,neutral; average; average; plain,0.9313093423843384,0.8181818181818182,0.5132714986801148
gemini,en,food,disgust,centroid_phrases,neutral_centroid,31,feeling repulsed; feeling revolted; feeling repulsed,ordinary; average; average; average,0.8453719019889832,0.8181818181818182,0.5004305690526962
gemini,en,food,disgust,centroid_phrases,neutral_centroid,32,feeling disgusted; feeling revolted; feeling revolted,ordinary; plain; plain; ordinary,0.8973681926727295,0.8181818181818182,0.5143617361783981
gemini,en,food,disgust,centroid_phrases,neutral_centroid,33,feeling disgusted; feeling disgusted; feeling revolted,average; neutral; average; plain,0.9246396422386169,1.0,0.5147950738668442
gemini,en,food,disgust,centroid_phrases,neutral_centroid,34,feeling disgusted; feeling revolted; feeling repulsed,plain; neutral; ordinary; plain,0.9560375809669495,0.8181818181818182,0.5166443765163422
gemini,en,food,disgust,centroid_phrases,neutral_centroid,35,feeling revolted; feeling revolted; feeling disgusted,average; plain; average; ordinary,0.9271090030670166,1.0,0.5120640844106674
gemini,en,food,disgust,centroid_phrases,neutral_centroid,36,feeling revolted; feeling repulsed; feeling disgusted,plain; ordinary; neutral; neutral,0.9552398324012756,0.8181818181818182,0.5218467265367508
gemini,en,food,disgust,centroid_phrases,neutral_centroid,37,feeling disgusted; feeling repulsed; feeling revolted,plain; neutral; plain; ordinary,0.9560375809669495,0.8181818181818182,0.5166443735361099
gemini,en,food,disgust,centroid_phrases,neutral_centroid,38,feeling repulsed; feeling disgusted; feeling repulsed,plain; plain; ordinary; neutral,0.9299633502960205,0.6666666666666666,0.5002638459205627
gemini,en,food,disgust,centroid_phrases,neutral_centroid,39,feeling revolted; feeling disgusted; feeling disgusted,neutral; plain; ordinary; plain,0.9215120077133179,0.8181818181818182,0.5146714866161346
gemini,en,food,disgust,centroid_phrases,neutral_centroid,40,feeling repulsed; feeling revolted; feeling revolted,average; plain; neutral; plain,0.9372633695602417,0.8181818181818182,0.5004460632801055
gemini,en,food,disgust,centroid_phrases,neutral_centroid,41,feeling disgusted; feeling repulsed; feeling revolted,average; plain; plain; ordinary,0.9615535140037537,0.8181818181818182,0.51325264275074
gemini,en,food,disgust,centroid_phrases,neutral_centroid,42,feeling revolted; feeling repulsed; feeling revolted,average; average; plain; neutral,0.9294084906578064,0.8181818181818182,0.5017862647771836
gemini,en,food,disgust,centroid_phrases,neutral_centroid,43,feeling disgusted; feeling disgusted; feeling repulsed,ordinary; plain; neutral; average,0.9672680497169495,1.0,0.5088037133216858
gemini,en,food,disgust,centroid_phrases,neutral_centroid,44,feeling revolted; feeling revolted; feeling revolted,plain; average; ordinary; ordinary,0.8878774642944336,0.6666666666666666,0.49210570454597474
gemini,en,food,disgust,centroid_phrases,neutral_centroid,45,feeling disgusted; feeling repulsed; feeling repulsed,plain; plain; average; average,0.9050447344779968,1.0,0.49810171127319336
gemini,en,food,disgust,centroid_phrases,neutral_centroid,46,feeling revolted; feeling revolted; feeling repulsed,neutral; average; average; ordinary,0.9251196980476379,0.8181818181818182,0.5044541388750077
