model,language,category,emotion,emotion_strategy,neutral_strategy,bootstrap_iteration,sampled_emotion_terms,sampled_neutral_terms,direction_cosine_to_reference,top_k_jaccard_to_reference,average_similarity_top_k
gemini,en,food,sadness,centroid_phrases,neutral_centroid,14,feeling sad; feeling gloomy; feeling gloomy,neutral; ordinary; ordinary; plain,0.9009696245193481,0.8181818181818182,0.5127752035856247
gemini,en,food,sadness,centroid_phrases,neutral_centroid,15,feeling gloomy; feeling sorrowful; feeling sad,plain; neutral; ordinary; ordinary,0.9543108940124512,0.8181818181818182,0.5238947212696076
gemini,en,food,sadness,centroid_phrases,neutral_centroid,16,feeling gloomy; feeling sad; feeling gloomy,ordinary; plain; average; neutral,0.9473727345466614,0.6666666666666666,0.5062925308942795
gemini,en,food,sadness,centroid_phrases,neutral_centroid,17,feeling gloomy; feeling gloomy; feeling sad,average; average; neutral; neutral,0.8665381669998169,0.5384615384615384,0.5101587861776352
gemini,en,food,sadness,centroid_phrases,neutral_centroid,18,feeling sad; feeling gloomy; feeling sorrowful,neutral; neutral; plain; neutral,0.8713024854660034,0.6666666666666666,0.5265812516212464
gemini,en,food,sadness,centroid_phrases,neutral_centroid,19,feeling sorrowful; feeling sorrowful; feeling sad,plain; average; ordinary; ordinary,0.9087675213813782,0.8181818181818182,0.4995791345834732
gemini,en,food,sadness,centroid_phrases,neutral_centroid,20,feeling gloomy; feeling sad; feeling gloomy,average; average; ordinary; ordinary,0.8623039722442627,0.6666666666666666,0.5103888601064682
gemini,en,food,sadness,centroid_phrases,neutral_centroid,21,feeling sorrowful; feeling sorrowful; feeling gloomy,average; plain; plain; average,0.8880361914634705,0.6666666666666666,0.4990254580974579
gemini,en,food,sadness,centroid_phrases,neutral_centroid,22,feeling sorrowful; feeling sorrowful; feeling sorrowful,plain; neutral; plain; neutral,0.8184224367141724,0.6666666666666666,0.48074972033500674
gemini,en,food,sadness,centroid_phrases,neutral_centroid,23,feeling gloomy; feeling sorrowful; feeling sorrowful,ordinary; neutral; neutral; neutral,0.854820728302002,0.8181818181818182,0.5218813002109528
gemini,en,food,sadness,centroid_phrases,neutral_centroid,24,feeling gloomy; feeling sad; feeling sorrowful,plain; plain; average; neutral,0.9623291492462158,0.8181818181818182,0.5140628546476365
gemini,en,food,sadness,centroid_phrases,neutral_centroid,25,feeling sad; feeling sorrowful; feeling sad,neutral; neutral; plain; neutral,0.8457329273223877,0.6666666666666666,0.5096469193696975
gemini,en,food,sadness,centroid_phrases,neutral_centroid,26,feeling gloomy; feeling gloomy; feeling gloomy,ordinary; average; plain; ordinary,0.824421763420105,0.6666666666666666,0.48706948161125185
gemini,en,food,sadness,centroid_phrases,neutral_centroid,27,feeling sad; feeling sorrowful; feeling gloomy,average; plain; average; ordinary,0.948435366153717,0.6666666666666666,0.5141698449850083
gemini,en,food,sadness,centroid_phrases,neutral_centroid,28,feeling gloomy; feeling gloomy; feeling gloomy,neutral; average; ordinary; plain,0.8632434010505676,0.5384615384615384,0.4839512974023819
gemini,en,food,sadness,centroid_phrases,neutral_centroid,29,feeling sorrowful; feeling sorrowful; feeling gloomy,ordinary; neutral; ordinary; neutral,0.8947395086288452,0.8181818181818182,0.5196274757385254
gemini,en,food,sadness,centroid_phrases,neutral_centroid,30,feeling sad; feeling sorrowful; feeling sorrowful,ordinary; plain; ordinary; plain,0.8733246922492981,0.8181818181818182,0.5018213659524917
gemini,en,food,sadness,centroid_phrases,neutral_centroid,31,feeling sorrowful; feeling sorrowful; feeling sorrowful,average; plain; average; plain,0.8258433938026428,0.8181818181818182,0.4684039443731308
gemini,en,food,sadness,centroid_phrases,neutral_centroid,32,feeling gloomy; feeling sad; feeling sorrowful,plain; ordinary; neutral; plain,0.9503161311149597,0.8181818181818182,0.519266140460968
gemini,en,food,sadness,centroid_phrases,neutral_centroid,33,feeling sorrowful; feeling gloomy; feeling sad,plain; plain; neutral; ordinary,0.9503160119056702,0.8181818181818182,0.5192661225795746
gemini,en,food,sadness,centroid_phrases,neutral_centroid,34,feeling sorrowful; feeling sad; feeling sad,average; average; plain; neutral,0.9168928265571594,0.6666666666666666,0.4963828384876251
gemini,en,food,sadness,centroid_phrases,neutral_centroid,35,feeling sad; feeling sorrowful; feeling sad,neutral; average; ordinary; average,0.910571277141571,0.6666666666666666,0.5008062988519668
gemini,en,food,sadness,centroid_phrases,neutral_centroid,36,feeling sad; feeling sad; feeling sad,average; plain; neutral; neutral,0.8621351718902588,0.6666666666666666,0.4821925610303879
gemini,en,food,sadness,centroid_phrases,neutral_centroid,37,feeling sad; feeling sorrowful; feeling sad,neutral; neutral; ordinary; neutral,0.8528679609298706,0.6666666666666666,0.5129229903221131
gemini,en,food,sadness,centroid_phrases,neutral_centroid,38,feeling sorrowful; feeling gloomy; feeling gloomy,ordinary; neutral; neutral; average,0.9143058657646179,0.8181818181818182,0.5148252308368683
gemini,en,food,sadness,centroid_phrases,neutral_centroid,39,feeling gloomy; feeling sorrowful; feeling gloomy,average; ordinary; ordinary; neutral,0.9184296727180481,0.8181818181818182,0.5143425643444062
gemini,en,food,sadness,centroid_phrases,neutral_centroid,40,feeling sad; feeling gloomy; feeling gloomy,average; ordinary; plain; neutral,0.9473728537559509,0.6666666666666666,0.5062925308942795
gemini,en,food,sadness,centroid_phrases,neutral_centroid,41,feeling gloomy; feeling sad; feeling gloomy,neutral; ordinary; average; ordinary,0.9089470505714417,0.8181818181818182,0.5114184230566025
gemini,en,food,sadness,centroid_phrases,neutral_centroid,42,feeling gloomy; feeling sad; feeling sad,ordinary; ordinary; plain; average,0.9127050638198853,0.6666666666666666,0.5075663596391677
gemini,en,food,sadness,centroid_phrases,neutral_centroid,43,feeling gloomy; feeling sorrowful; feeling gloomy,ordinary; neutral; ordinary; average,0.9184296727180481,0.8181818181818182,0.514342588186264
gemini,en,food,sadness,centroid_phrases,neutral_centroid,44,feeling sorrowful; feeling sorrowful; feeling sorrowful,ordinary; ordinary; plain; average,0.8478273153305054,1.0,0.4764737606048584
gemini,en,food,sadness,centroid_phrases,neutral_centroid,45,feeling sad; feeling sad; feeling sad,average; plain; average; ordinary,0.8551410436630249,0.6666666666666666,0.47935186326503754
gemini,en,food,sadness,centroid_phrases,neutral_centroid,46,feeling sorrowful; feeling gloomy; feeling gloomy,neutral; average; average; average,0.8368517756462097,0.6666666666666666,0.5111615121364593
gemini,en,food,sadness,centroid_phrases,neutral_centroid,47,feeling sorrowful; feeling sad; feeling sad,plain; average; ordinary; average,0.909278154373169,0.6666666666666666,0.4976158529520035
gemini,en,food,sadness,centroid_phrases,neutral_centroid,48,feeling sorrowful; feeling sad; feeling gloomy,average; plain; average; neutral,0.9547610282897949,0.8181818181818182,0.5136112064123154
gemini,en,food,sadness,centroid_phrases,neutral_centroid,49,feeling sad; feeling sorrowful; feeling gloomy,neutral; neutral; plain; plain,0.9096623063087463,0.8181818181818182,0.5206519097089768
gemini,en,food,sadness,centroid_phrases,neutral_centroid,50,feeling sorrowful; feeling sorrowful; feeling gloomy,plain; neutral; plain; average,0.9211840629577637,0.8181818181818182,0.5023107528686523
gemini,en,food,sadness,single_word,neutral_centroid,1,sadness,neutral; average; plain; average,0.959996223449707,1.0,0.4827216982841492
gemini,en,food,sadness,single_word,neutral_centroid,2,sadness,ordinary; average; plain; plain,0.9629464149475098,1.0,0.48338097631931304
gemini,en,food,sadness,single_word,neutral_centroid,3,sadness,average; average; neutral; ordinary,0.9550362825393677,1.0,0.4894816905260086
gemini,en,food,sadness,single_word,neutral_centroid,4,sadness,ordinary; average; plain; average,0.9542580246925354,1.0,0.4852348864078522
gemini,en,food,sadness,single_word,neutral_centroid,5,sadness,plain; ordinary; average; average,0.9542580246925354,1.0,0.48523484766483305
gemini,en,food,sadness,single_word,neutral_centroid,6,sadness,neutral; ordinary; ordinary; ordinary,0.9060878753662109,0.8181818181818182,0.5024270325899124
gemini,en,food,sadness,single_word,neutral_centroid,7,sadness,neutral; plain; ordinary; average,1.0,1.0,0.48550258576869965
gemini,en,food,sadness,single_word,neutral_centroid,8,sadness,neutral; neutral; plain; ordinary,0.9545761942863464,1.0,0.4912619858980179
gemini,en,food,sadness,single_word,neutral_centroid,9,sadness,ordinary; neutral; plain; ordinary,0.9596256017684937,1.0,0.49304757118225095
gemini,en,food,sadness,single_word,neutral_centroid,10,sadness,ordinary; ordinary; average; ordinary,0.8972052335739136,1.0,0.4999474883079529
gemini,en,food,sadness,single_word,neutral_centroid,11,sadness,average; ordinary; plain; neutral,1.0,1.0,0.4855025917291641
gemini,en,food,sadness,single_word,neutral_centroid,12,sadness,neutral; plain; neutral; average,0.9581888914108276,0.8181818181818182,0.48613721430301665
gemini,en,food,sadness,single_word,neutral_centroid,13,sadness,ordinary; ordinary; average; average,0.9167860150337219,1.0,0.49400371611118316
gemini,en,food,sadness,single_word,neutral_centroid,14,sadness,neutral; plain; neutral; neutral,0.8849537968635559,0.8181818181818182,0.4952873408794403
gemini,en,food,sadness,single_word,neutral_centroid,15,sadness,ordinary; ordinary; neutral; average,0.9657294750213623,1.0,0.4940536946058273
gemini,en,food,sadness,single_word,neutral_centroid,16,sadness,plain; average; plain; average,0.9349079728126526,1.0,0.48056799471378325
gemini,en,food,sadness,single_word,neutral_centroid,17,sadness,ordinary; plain; plain; ordinary,0.9218958020210266,1.0,0.49115577936172483
gemini,en,food,sadness,single_word,neutral_centroid,18,sadness,ordinary; plain; ordinary; average,0.9575047492980957,1.0,0.49011535942554474
gemini,en,food,sadness,single_word,neutral_centroid,19,sadness,ordinary; neutral; plain; ordinary,0.9596256017684937,1.0,0.49304757118225095
gemini,en,food,sadness,single_word,neutral_centroid,20,sadness,neutral; average; average; neutral,0.9205306172370911,0.8181818181818182,0.49082404375076294
gemini,en,food,sadness,single_word,neutral_centroid,21,sadness,plain; ordinary; plain; plain,0.8996462821960449,1.0,0.4870754897594452
gemini,en,food,sadness,single_word,neutral_centroid,22,sadness,ordinary; ordinary; average; neutral,0.9657294750213623,1.0,0.4940537095069885
gemini,en,food,sadness,single_word,neutral_centroid,23,sadness,ordinary; average; ordinary; average,0.9167860150337219,1.0,0.4940037250518799
gemini,en,food,sadness,single_word,neutral_centroid,24,sadness,plain; average; plain; plain,0.9137941598892212,1.0,0.48128185272216795
gemini,en,food,sadness,single_word,neutral_centroid,25,sadness,neutral; plain; neutral; ordinary,0.9545761942863464,1.0,0.4912619948387146
gemini,en,food,sadness,single_word,neutral_centroid,26,sadness,neutral; plain; average; ordinary,1.0,1.0,0.4855025827884674
gemini,en,food,sadness,single_word,neutral_centroid,27,sadness,plain; ordinary; plain; plain,0.8996462821960449,1.0,0.4870754897594452
gemini,en,food,sadness,single_word,neutral_centroid,28,sadness,average; plain; neutral; plain,0.9672380089759827,1.0,0.4809489756822586
gemini,en,food,sadness,single_word,neutral_centroid,29,sadness,neutral; neutral; neutral; plain,0.8849537968635559,0.8181818181818182,0.4952873408794403
gemini,en,food,sadness,single_word,neutral_centroid,30,sadness,plain; neutral; ordinary; average,1.0,1.0,0.48550258576869965
gemini,en,food,sadness,single_word,neutral_centroid,31,sadness,neutral; plain; average; neutral,0.9581888914108276,0.8181818181818182,0.48613720536231997
gemini,en,food,sadness,single_word,neutral_centroid,32,sadness,plain; ordinary; average; plain,0.9629464149475098,1.0,0.48338098227977755
gemini,en,food,sadness,single_word,neutral_centroid,33,sadness,plain; ordinary; ordinary; plain,0.9218958616256714,1.0,0.4911557734012604
gemini,en,food,sadness,single_word,neutral_centroid,34,sadness,average; neutral; plain; ordinary,1.0,1.0,0.4855025887489319
gemini,en,food,sadness,single_word,neutral_centroid,35,sadness,ordinary; ordinary; plain; plain,0.9218958616256714,1.0,0.4911557734012604
gemini,en,food,sadness,single_word,neutral_centroid,36,sadness,neutral; average; average; average,0.8826553225517273,1.0,0.4903060168027878
gemini,en,food,sadness,single_word,neutral_centroid,37,sadness,plain; plain; neutral; neutral,0.9206541180610657,1.0,0.4874058485031128
gemini,en,food,sadness,single_word,neutral_centroid,38,sadness,ordinary; neutral; neutral; ordinary,0.9325451254844666,1.0,0.49885134100914
gemini,en,food,sadness,single_word,neutral_centroid,39,sadness,neutral; ordinary; ordinary; ordinary,0.9060878753662109,0.8181818181818182,0.5024270325899124
gemini,en,food,sadness,single_word,neutral_centroid,40,sadness,neutral; plain; average; average,0.959996223449707,1.0,0.4827217012643814
gemini,en,food,sadness,single_word,neutral_centroid,41,sadness,neutral; average; average; neutral,0.9205306172370911,0.8181818181818182,0.49082404375076294
gemini,en,food,sadness,single_word,neutral_centroid,42,sadness,average; average; average; average,0.8021408319473267,1.0,0.4963061988353729
gemini,en,food,sadness,single_word,neutral_centroid,43,sadness,neutral; neutral; neutral; ordinary,0.8925650119781494,0.8181818181818182,0.500451847910881
gemini,en,food,sadness,single_word,neutral_centroid,44,sadness,plain; neutral; ordinary; ordinary,0.9596256017684937,1.0,0.49304757714271547
gemini,en,food,sadness,single_word,neutral_centroid,45,sadness,plain; plain; ordinary; ordinary,0.9218958020210266,1.0,0.49115578830242157
gemini,en,food,sadness,single_word,neutral_centroid,46,sadness,neutral; average; plain; average,0.959996223449707,1.0,0.4827216982841492
gemini,en,food,sadness,single_word,neutral_centroid,47,sadness,ordinary; plain; plain; neutral,0.9565809369087219,1.0,0.48682631850242614
gemini,en,food,sadness,single_word,neutral_centroid,48,sadness,ordinary; plain; average; ordinary,0.9575045704841614,1.0,0.4901154011487961
gemini,en,food,sadness,single_word,neutral_centroid,49,sadness,neutral; ordinary; ordinary; ordinary,0.9060878753662109,0.8181818181818182,0.5024270325899124
gemini,en,food,sadness,single_word,neutral_centroid,50,sadness,average; average; ordinary; plain,0.9542582035064697,1.0,0.48523483872413636
gemini,en,food,disgust,centroid_phrases,neutral_centroid,1,feeling disgusted; feeling repulsed; feeling disgusted,ordinary; neutral; plain; plain,0.92518150806427,0.8181818181818182,0.5099542826414108
gemini,en,food,disgust,centroid_phrases,neutral_centroid,2,feeling revolted; feeling revolted; feeling repulsed,neutral; ordinary; neutral; ordinary,0.9069082736968994,0.6666666666666666,0.5099580317735672
gemini,en,food,disgust,centroid_phrases,neutral_centroid,3,feeling disgusted; feeling revolted; feeling disgusted,neutral; plain; ordinary; average,0.9633476734161377,0.8181818181818182,0.5135785192251205
gemini,en,food,disgust,centroid_phrases,neutral_centroid,4,feeling repulsed; feeling repulsed; feeling disgusted,plain; ordinary; ordinary; neutral,0.9326856732368469,0.6666666666666666,0.503424060344696
gemini,en,food,disgust,centroid_phrases,neutral_centroid,5,feeling revolted; feeling revolted; feeling disgusted,neutral; neutral; ordinary; neutral,0.8714139461517334,0.6666666666666666,0.5258726477622986
gemini,en,food,disgust,centroid_phrases,neutral_centroid,6,feeling repulsed; feeling disgusted; feeling repulsed,ordinary; ordinary; plain; ordinary,0.8685994744300842,0.5384615384615384,0.5071601003408432
gemini,en,food,disgust,centroid_phrases,neutral_centroid,7,feeling revolted; feeling repulsed; feeling repulsed,plain; plain; average; neutral,0.9345618486404419,0.8181818181818182,0.49266986548900604
gemini,en,food,disgust,centroid_phrases,neutral_centroid,8,feeling disgusted; feeling repulsed; feeling disgusted,plain; plain; plain; neutral,0.8720672726631165,0.8181818181818182,0.5110014170408249
gemini,en,food,disgust,centroid_phrases,neutral_centroid,9,feeling repulsed; feeling disgusted; feeling disgusted,ordinary; average; plain; neutral,0.9672680497169495,1.0,0.5088037252426147
gemini,en,food,disgust,centroid_phrases,neutral_centroid,10,feeling repulsed; feeling disgusted; feeling disgusted,average; average; plain; plain,0.9004696011543274,1.0,0.5070293962955474
gemini,en,food,disgust,centroid_phrases,neutral_centroid,11,feeling disgusted; feeling repulsed; feeling repulsed,neutral; neutral; neutral; neutral,0.8075166344642639,0.8181818181818182,0.5240000069141388
gemini,en,food,disgust,centroid_phrases,neutral_centroid,12,feeling repulsed; feeling revolted; feeling revolted,average; neutral; plain; neutral,0.9286779165267944,0.8181818181818182,0.505744794011116
gemini,en,food,disgust,centroid_phrases,neutral_centroid,13,feeling repulsed; feeling disgusted; feeling repulsed,neutral; ordinary; neutral; average,0.9389876127243042,0.8181818181818182,0.5065530270338059
gemini,en,food,disgust,centroid_phrases,neutral_centroid,14,feeling revolted; feeling revolted; feeling repulsed,ordinary; plain; ordinary; plain,0.895837128162384,0.5384615384615384,0.5033997297286987
gemini,en,food,disgust,centroid_phrases,neutral_centroid,15,feeling revolted; feeling revolted; feeling repulsed,average; ordinary; ordinary; neutral,0.9361883401870728,0.8181818181818182,0.5054251700639725
gemini,en,food,disgust,centroid_phrases,neutral_centroid,16,feeling repulsed; feeling revolted; feeling revolted,ordinary; ordinary; ordinary; ordinary,0.8115235567092896,0.6666666666666666,0.5167855381965637
gemini,en,food,disgust,centroid_phrases,neutral_centroid,17,feeling repulsed; feeling disgusted; feeling repulsed,neutral; plain; ordinary; average,0.971116304397583,1.0,0.49948514699935914
gemini,en,food,disgust,centroid_phrases,neutral_centroid,18,feeling disgusted; feeling repulsed; feeling disgusted,neutral; plain; average; ordinary,0.9672680497169495,1.0,0.508803728222847
gemini,en,food,disgust,centroid_phrases,neutral_centroid,19,feeling repulsed; feeling repulsed; feeling repulsed,ordinary; neutral; ordinary; neutral,0.8632106781005859,0.6666666666666666,0.47932806611061096
gemini,en,food,disgust,centroid_phrases,neutral_centroid,20,feeling disgusted; feeling revolted; feeling disgusted,plain; plain; neutral; plain,0.8679876327514648,0.8181818181818182,0.5154597282409668
gemini,en,food,disgust,centroid_phrases,neutral_centroid,21,feeling repulsed; feeling repulsed; feeling revolted,ordinary; ordinary; average; neutral,0.9322668313980103,0.8181818181818182,0.4979144424200058
gemini,en,food,disgust,centroid_phrases,neutral_centroid,22,feeling disgusted; feeling disgusted; feeling repulsed,average; plain; average; plain,0.9004696011543274,1.0,0.507029402256012
gemini,en,food,disgust,centroid_phrases,neutral_centroid,23,feeling repulsed; feeling revolted; feeling revolted,average; plain; ordinary; neutral,0.9682276844978333,0.8181818181818182,0.5009079515933991
gemini,en,food,disgust,centroid_phrases,neutral_centroid,24,feeling repulsed; feeling repulsed; feeling repulsed,neutral; neutral; ordinary; neutral,0.8359439373016357,0.6666666666666666,0.48579985797405245
gemini,en,food,disgust,centroid_phrases,neutral_centroid,25,feeling repulsed; feeling repulsed; feeling disgusted,ordinary; neutral; ordinary; ordinary,0.8834882378578186,0.6666666666666666,0.5103282004594802
gemini,en,food,disgust,centroid_phrases,neutral_centroid,26,feeling repulsed; feeling disgusted; feeling repulsed,average; average; average; neutral,0.858711302280426,1.0,0.5084747433662414
gemini,en,food,disgust,centroid_phrases,neutral_centroid,27,feeling disgusted; feeling repulsed; feeling revolted,ordinary; neutral; neutral; ordinary,0.9344495534896851,0.6666666666666666,0.5247016310691833
gemini,en,food,disgust,centroid_phrases,neutral_centroid,28,feeling repulsed; feeling revolted; feeling disgusted,plain; plain; neutral; ordinary,0.9560375809669495,0.8181818181818182,0.5166443675756455
gemini,en,food,disgust,centroid_phrases,neutral_centroid,29,feeling revolted; feeling repulsed; feeling repulsed,ordinary; average; plain; ordinary,0.9229393005371094,0.8181818181818182,0.49434818923473356
gemini,en,food,disgust,centroid_phrases,neutral_centroid,30,feeling revolted; feeling disgusted; feeling revolted,neutral; average; average; plain,0.9313093423843384,0.8181818181818182,0.5132714986801148
gemini,en,food,disgust,centroid_phrases,neutral_centroid,31,feeling repulsed; feeling revolted; feeling repulsed,ordinary; average; average; average,0.8453719019889832,0.8181818181818182,0.5004305690526962
gemini,en,food,disgust,centroid_phrases,neutral_centroid,32,feeling disgusted; feeling revolted; feeling revolted,ordinary; plain; plain; ordinary,0.8973681926727295,0.8181818181818182,0.5143617361783981
gemini,en,food,disgust,centroid_phrases,neutral_centroid,33,feeling disgusted; feeling disgusted; feeling revolted,average; neutral; average; plain,0.9246396422386169,1.0,0.5147950738668442
gemini,en,food,disgust,centroid_phrases,neutral_centroid,34,feeling disgusted; feeling revolted; feeling repulsed,plain; neutral; ordinary; plain,0.9560375809669495,0.8181818181818182,0.5166443765163422
gemini,en,food,disgust,centroid_phrases,neutral_centroid,35,feeling revolted; feeling revolted; feeling disgusted,average; plain; average; ordinary,0.9271090030670166,1.0,0.5120640844106674
gemini,en,food,disgust,centroid_phrases,neutral_centroid,36,feeling revolted; feeling repulsed; feeling disgusted,plain; ordinary; neutral; neutral,0.9552398324012756,0.8181818181818182,0.5218467265367508
gemini,en,food,disgust,centroid_phrases,neutral_centroid,37,feeling disgusted; feeling repulsed; feeling revolted,plain; neutral; plain; ordinary,0.9560375809669495,0.8181818181818182,0.5166443735361099
gemini,en,food,disgust,centroid_phrases,neutral_centroid,38,feeling repulsed; feeling disgusted; feeling repulsed,plain; plain; ordinary; neutral,0.9299633502960205,0.6666666666666666,0.5002638459205627
gemini,en,food,disgust,centroid_phrases,neutral_centroid,39,feeling revolted; feeling disgusted; feeling disgusted,neutral; plain; ordinary; plain,0.9215120077133179,0.8181818181818182,0.5146714866161346
gemini,en,food,disgust,centroid_phrases,neutral_centroid,40,feeling repulsed; feeling revolted; feeling revolted,average; plain; neutral; plain,0.9372633695602417,0.8181818181818182,0.5004460632801055
gemini,en,food,disgust,centroid_phrases,neutral_centroid,41,feeling disgusted; feeling repulsed; feeling revolted,average; plain; plain; ordinary,0.9615535140037537,0.8181818181818182,0.51325264275074
gemini,en,food,disgust,centroid_phrases,neutral_centroid,42,feeling revolted; feeling repulsed; feeling revolted,average; average; plain; neutral,0.9294084906578064,0.8181818181818182,0.5017862647771836
gemini,en,food,disgust,centroid_phrases,neutral_centroid,43,feeling disgusted; feeling disgusted; feeling repulsed,ordinary; plain; neutral; average,0.9672680497169495,1.0,0.5088037133216858
gemini,en,food,disgust,centroid_phrases,neutral_centroid,44,feeling revolted; feeling revolted; feeling revolted,plain; average; ordinary; ordinary,0.8878774642944336,0.6666666666666666,0.49210570454597474
gemini,en,food,disgust,centroid_phrases,neutral_centroid,45,feeling disgusted; feeling repulsed; feeling repulsed,plain; plain; average; average,0.9050447344779968,1.0,0.49810171127319336
gemini,en,food,disgust,centroid_phrases,neutral_centroid,46,feeling revolted; feeling revolted; feeling repulsed,neutral; average; average; ordinary,0.9251196980476379,0.8181818181818182,0.5044541388750077
gemini,en,food,disgust,centroid_phrases,neutral_centroid,47,feeling disgusted; feeling revolted; feeling revolted,plain; ordinary; neutral; plain,0.9297264814376831,0.8181818181818182,0.5131600767374038
gemini,en,food,disgust,centroid_phrases,neutral_centroid,48,feeling repulsed; feeling revolted; feeling revolted,ordinary; average; average; neutral,0.9251196980476379,0.8181818181818182,0.5044541358947754
gemini,en,food,disgust,centroid_phrases,neutral_centroid,49,feeling revolted; feeling repulsed; feeling revolted,neutral; plain; plain; neutral,0.8944481611251831,0.8181818181818182,0.5073654025793075
gemini,en,food,disgust,centroid_phrases,neutral_centroid,50,feeling repulsed; feeling revolted; feeling disgusted,plain; plain; ordinary; neutral,0.9560375809669495,0.8181818181818182,0.5166443288326263
gemini,en,food,disgust,single_word,neutral_centroid,1,disgust,ordinary; ordinary; average; ordinary,0.8992188572883606,0.8181818181818182,0.5166760802268981
gemini,en,food,disgust,single_word,neutral_centroid,2,disgust,plain; neutral; plain; neutral,0.9243994355201721,1.0,0.5086379170417785
gemini,en,food,disgust,single_word,neutral_centroid,3,disgust,plain; ordinary; plain; ordinary,0.9236807227134705,0.8181818181818182,0.5093666136264801
gemini,en,food,disgust,single_word,neutral_centroid,4,disgust,neutral; plain; ordinary; average,0.9999998807907104,1.0,0.5058676242828369
gemini,en,food,disgust,single_word,neutral_centroid,5,disgust,plain; average; plain; ordinary,0.9632277488708496,1.0,0.5031574338674545
gemini,en,food,disgust,single_word,neutral_centroid,6,disgust,average; plain; ordinary; neutral,1.0,1.0,0.5058676302433014
gemini,en,food,disgust,single_word,neutral_centroid,7,disgust,neutral; neutral; average; plain,0.9598718881607056,0.8181818181818182,0.5080416858196258
gemini,en,food,disgust,single_word,neutral_centroid,8,disgust,plain; average; neutral; ordinary,1.0,1.0,0.5058676242828369
gemini,en,food,disgust,single_word,neutral_centroid,9,disgust,neutral; plain; average; neutral,0.9598718881607056,0.8181818181818182,0.5080416828393937
gemini,en,food,disgust,single_word,neutral_centroid,10,disgust,average; ordinary; plain; ordinary,0.9581854343414307,1.0,0.5083013892173767
gemini,en,food,disgust,single_word,neutral_centroid,11,disgust,plain; neutral; average; ordinary,1.0,1.0,0.5058676242828369
gemini,en,food,disgust,single_word,neutral_centroid,12,disgust,plain; average; average; plain,0.9340687990188599,1.0,0.5021202713251114
gemini,en,food,disgust,single_word,neutral_centroid,13,disgust,neutral; plain; ordinary; average,0.9999998807907104,1.0,0.5058676242828369
gemini,en,food,disgust,single_word,neutral_centroid,14,disgust,neutral; neutral; plain; neutral,0.8920925259590149,0.8181818181818182,0.5156852424144744
gemini,en,food,disgust,single_word,neutral_centroid,15,disgust,average; ordinary; neutral; ordinary,0.9668260216712952,1.0,0.5125794738531113
gemini,en,food,disgust,single_word,neutral_centroid,16,disgust,plain; plain; plain; plain,0.8437435626983643,0.8181818181818182,0.5071457594633102
